CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,"2,753",-26,"2,979",-,646.65,-247.55,300,645.60,659.55,825,"23,400.00",75,40.65,41.45,600,16.00,41.50,21.94,"5,76,084","15,763","28,171",
,272,34,"1,083",-,602.80,-234.35,75,602.60,612.75,75,"23,450.00",75,44.75,45.20,975,17.15,45.30,21.39,"3,83,120","7,240","9,074",
,"8,448",-26,"32,929",-,560.00,-235.55,"1,500",560.00,564.65,75,"23,500.00","2,250",49.10,49.35,900,17.80,49.35,20.81,"16,47,893","39,546","89,447",
,617,224,"2,857",-,515.00,-218.85,75,512.00,521.50,75,"23,550.00",150,54.00,54.30,75,19.50,54.45,20.31,"4,26,550","6,167","9,071",
,"2,705",-78,"12,942",-,467.15,-235.55,75,468.55,476.75,300,"23,600.00",300,59.20,60.50,150,21.65,60.30,19.82,"8,72,785","11,175","29,485",
,679,420,"8,440",8.18,424.60,-235.20,150,424.80,433.65,75,"23,650.00",150,65.75,66.65,150,24.05,67.15,19.37,"5,50,858","5,868","11,872",
,"4,254",240,"52,635",9.03,379.60,-233.75,150,385.25,391.15,75,"23,700.00",75,73.65,74.75,150,25.90,74.60,18.88,"11,67,056","15,754","39,208",
,"2,290","1,774","30,375",10.04,342.25,-227.35,300,344.40,347.85,150,"23,750.00",150,82.75,83.60,75,28.80,83.70,18.60,"6,97,571","7,165","14,374",
,"7,505","2,124","2,49,758",11.47,307.35,-220.20,150,305.40,309.85,150,"23,800.00","1,350",94.00,94.60,75,33.20,94.60,18.11,"18,62,793","27,590","57,400",
,"3,321","2,161","1,85,468",10.94,264.00,-222.35,300,268.05,275.25,225,"23,850.00",975,105.40,107.40,75,36.55,106.00,17.67,"9,85,797","10,286","16,796",
,"17,131","13,269","8,20,240",11.68,234.25,-207.90,150,232.80,237.00,375,"23,900.00","1,725",122.00,122.60,"1,125",43.75,122.05,17.54,"21,14,181","26,592","48,696",
